City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,75,CA,broken clouds,45,69.4541,-133.0374,64.4,16.11
Sao Filipe,13,CV,few clouds,74,14.8961,-24.4956,74.01,7.96
Pacifica,40,US,scattered clouds,81,37.6138,-122.4869,94.14,5.01
Iquitos,75,PE,broken clouds,88,-3.7481,-73.2472,77.04,0.0
Hermanus,100,ZA,overcast clouds,52,-34.4187,19.2345,49.89,5.32
Terrak,93,NO,overcast clouds,87,65.087,12.3715,53.47,3.11
Luderitz,27,NA,scattered clouds,21,-26.6481,15.1594,63.66,9.62
Puerto Ayora,6,EC,clear sky,85,-0.7393,-90.3518,72.55,5.99
Vestmannaeyjar,83,IS,broken clouds,87,63.4427,-20.2734,51.42,13.62
Yulara,41,AU,scattered clouds,44,-25.2406,130.9889,55.24,6.91
Norman Wells,75,CA,broken clouds,37,65.282,-126.8329,68.04,9.22
Georgetown,20,MY,few clouds,88,5.4112,100.3354,83.89,2.3
Coihaique,75,CL,broken clouds,87,-45.5752,-72.0662,35.55,4.61
Terra Santa,68,BR,broken clouds,60,-2.1042,-56.4869,80.58,2.75
Hokitika,100,NZ,overcast clouds,81,-42.7167,170.9667,49.42,7.7
Hithadhoo,79,MV,broken clouds,78,-0.6,73.0833,81.59,10.49
Nador,0,MA,clear sky,17,35.174,-2.9287,86.25,14.97
Trelew,100,AR,overcast clouds,40,-43.249,-65.3051,45.61,16.71
Estelle,20,US,few clouds,67,29.8458,-90.1067,93.2,5.75
Kodiak,40,US,scattered clouds,77,57.79,-152.4072,60.31,8.05
Harper,91,LR,overcast clouds,73,4.375,-7.7169,75.43,5.53
La Plata,100,AR,moderate rain,95,-34.9215,-57.9545,57.99,11.9
Srednekolymsk,100,RU,overcast clouds,45,67.45,153.6833,60.71,14.43
Birin,27,NP,scattered clouds,89,26.8865,88.0718,67.91,2.8
Richards Bay,13,ZA,few clouds,78,-28.783,32.0377,53.1,4.92
Yenagoa,83,NG,broken clouds,86,4.9247,6.2642,71.53,4.38
Upernavik,3,GL,clear sky,84,72.7868,-56.1549,39.54,4.23
Sooke,32,CA,scattered clouds,51,48.3746,-123.7276,80.58,10.8
Boda,93,CF,overcast clouds,96,4.3189,17.4695,68.25,2.35
Belogorsk,0,RU,clear sky,68,50.9158,128.4611,77.47,10.78
Tiksi,87,RU,overcast clouds,78,71.6872,128.8694,43.86,5.48
Te Anau,100,NZ,overcast clouds,67,-45.4167,167.7167,53.17,5.32
Hornepayne,5,CA,clear sky,73,49.2138,-84.7705,68.83,5.88
Kjopsvik,100,NO,overcast clouds,98,68.097,16.3742,56.17,4.88
Tasiilaq,100,GL,light rain,98,65.6145,-37.6368,42.96,4.54
Cidreira,42,BR,scattered clouds,77,-30.1811,-50.2056,61.52,9.19
Hobart,40,AU,scattered clouds,69,-42.8794,147.3294,47.26,5.99
Zheleznodorozhnyy,100,RU,overcast clouds,58,55.7503,38.0042,58.35,1.86
Lazaro Cardenas,91,MX,overcast clouds,82,17.9583,-102.2,83.1,6.26
Weinan,0,CN,clear sky,57,34.5036,109.5089,80.29,2.98
New Norfolk,48,AU,scattered clouds,58,-42.7826,147.0587,46.92,10.02
Ixtapa,75,MX,broken clouds,66,20.7,-105.2,87.03,9.22
Robertsport,99,LR,overcast clouds,77,6.7533,-11.3686,77.36,10.94
George,0,ZA,clear sky,61,-33.963,22.4617,45.95,4.61
Canico,20,PT,few clouds,80,32.6333,-16.85,74.01,9.22
Epe,5,NG,clear sky,87,6.5841,3.9834,73.11,3.78
Hibbing,1,US,clear sky,28,47.4272,-92.9377,81.75,12.66
Homer,20,US,few clouds,79,59.6425,-151.5483,64.08,16.11
Erzincan,0,TR,clear sky,67,39.75,39.5,61.9,2.3
Baykit,5,RU,clear sky,52,61.67,96.37,76.86,2.55
Tirat Karmel,26,IL,scattered clouds,81,32.7617,34.9719,78.96,3.91
Kodinsk,17,RU,few clouds,50,58.6881,99.1844,76.46,2.66
Tansen,84,NP,broken clouds,92,27.8673,83.5467,69.39,3.13
Longyearbyen,75,SJ,broken clouds,81,78.2186,15.6401,42.64,16.11
Sabang,100,ID,overcast clouds,72,5.8933,95.3214,83.14,15.86
Ondjiva,0,AO,clear sky,27,-17.0667,15.7333,51.78,7.52
El Dovio,100,CO,overcast clouds,98,4.5079,-76.2362,62.91,3.33
Manihari,52,IN,broken clouds,89,25.35,87.6333,81.07,5.88
Tete,40,MZ,scattered clouds,59,-16.1564,33.5867,66.29,5.75
Svetlogorsk,100,BY,overcast clouds,72,52.6333,29.7333,65.8,0.74
Vernon,7,CA,clear sky,25,50.2581,-119.2691,95.13,3.44
Nakonde,88,ZM,overcast clouds,81,-9.3421,32.745,52.79,11.83
Kahului,40,US,light rain,80,20.8947,-156.47,86.02,24.16
Bandarbeyla,7,SO,clear sky,63,9.4942,50.8122,78.84,24.92
Wajima,40,JP,scattered clouds,70,37.4,136.9,86.68,6.91
Port Hardy,75,CA,broken clouds,82,50.6996,-127.4199,62.78,6.91
Whitehorse,75,CA,broken clouds,45,60.7161,-135.0538,67.01,9.22
Mopipi,0,BW,clear sky,57,-21.1833,24.8833,48.56,13.51
Rawson,100,AR,overcast clouds,47,-43.3002,-65.1023,46.2,18.1
Haines Junction,100,CA,overcast clouds,51,60.7522,-137.5108,60.75,5.75
Oranjemund,100,NA,overcast clouds,21,-28.55,16.4333,62.51,14.5
Port Lincoln,100,AU,overcast clouds,78,-34.7333,135.8667,56.62,24.0
Severo-Kurilsk,99,RU,overcast clouds,90,50.6789,156.125,57.25,1.48
Itarema,3,BR,clear sky,80,-2.9248,-39.9167,76.57,10.36
Zalesovo,100,RU,overcast clouds,95,53.9939,84.7431,65.32,3.49
Aksarka,47,RU,scattered clouds,69,66.5606,67.7975,57.6,13.13
Aketi,100,CD,overcast clouds,95,2.7388,23.7833,71.92,1.39
Alice Springs,84,AU,broken clouds,38,-23.7,133.8833,54.95,8.05
Amahai,73,ID,broken clouds,76,-3.3333,128.9167,80.02,3.4
Bundaberg,4,AU,clear sky,26,-24.85,152.35,71.22,8.99
Muisne,100,EC,overcast clouds,82,0.6,-80.0333,74.61,7.34
Dakoro,30,NE,scattered clouds,65,14.5106,6.765,80.83,12.77
Millau,91,FR,overcast clouds,90,44.0833,2.9167,61.99,3.36
Kaitangata,100,NZ,overcast clouds,55,-46.2817,169.8464,46.92,7.61
Oranjestad,20,AW,few clouds,83,12.524,-70.027,82.35,18.41
Barda,1,AZ,clear sky,71,40.3744,47.1267,76.71,7.31
Hasaki,13,JP,few clouds,76,35.7333,140.8333,88.29,11.88
Mar Del Plata,90,AR,light rain,60,-38.0023,-57.5575,52.12,7.0
Yamada,22,JP,few clouds,70,39.4667,141.95,81.14,7.58
Xichang,3,CN,clear sky,83,27.8964,102.2634,69.64,1.57
Oksfjord,100,NO,overcast clouds,97,70.2396,22.3479,50.07,5.28
Klyuchi,0,RU,clear sky,66,52.2667,79.1667,71.28,5.06
Suleja,52,NG,broken clouds,97,9.1758,7.1808,72.59,0.76
Irbeyskoye,2,RU,clear sky,66,55.6428,95.4522,68.58,7.99
Stanger,6,ZA,clear sky,80,-29.3282,31.2895,52.0,6.4
Jumla,100,NP,overcast clouds,91,29.2747,82.1838,65.03,1.81
Jalingo,65,NG,broken clouds,96,8.8833,11.3667,71.28,4.18
Deputatskiy,29,RU,scattered clouds,53,69.3,139.9,54.9,11.48
Fairview,1,US,clear sky,56,40.8126,-73.999,77.43,4.61
Upata,100,VE,overcast clouds,97,8.0086,-62.3989,71.44,2.62
Port Blair,90,IN,mist,89,11.6667,92.75,82.44,10.36
Iqaluit,75,CA,broken clouds,87,63.7506,-68.5145,47.93,4.0
Vostok,49,RU,scattered clouds,43,46.4856,135.8833,89.98,3.56
Port Elizabeth,4,ZA,clear sky,50,-33.918,25.5701,50.76,10.47
Kinsale,20,IE,few clouds,94,51.7075,-8.5306,60.17,3.44
Broadstairs,84,GB,broken clouds,83,51.3591,1.4394,64.58,3.09
Grindavik,75,IS,broken clouds,93,63.8424,-22.4338,49.95,10.36
Sorland,100,NO,overcast clouds,95,67.667,12.6934,52.52,13.56
Ahipara,100,NZ,overcast clouds,78,-35.1667,173.1667,59.05,15.7
Namibe,0,AO,clear sky,62,-15.1961,12.1522,66.85,7.45
Comodoro Rivadavia,0,AR,clear sky,65,-45.8667,-67.5,42.66,2.3
Olafsvik,100,IS,overcast clouds,78,64.8945,-23.7142,49.98,9.37
Da Nang,40,VN,scattered clouds,55,16.0678,108.2208,87.78,12.66
Rondonopolis,0,BR,clear sky,41,-16.4708,-54.6356,73.0,3.2
Lerwick,98,GB,overcast clouds,83,60.1545,-1.1494,55.4,5.1
Camargo,94,MX,overcast clouds,34,27.6667,-105.1667,84.54,15.86
Arraial Do Cabo,0,BR,clear sky,76,-22.9661,-42.0278,69.82,22.79
Airai,9,TL,clear sky,25,-8.9266,125.4092,72.75,2.68
Diamantina,0,BR,clear sky,90,-18.2494,-43.6003,51.04,5.73
Antalaha,100,MG,light rain,84,-14.9003,50.2788,68.58,10.47
Juneau,90,US,moderate rain,91,58.3019,-134.4197,59.0,10.36
Takoradi,8,GH,clear sky,85,4.8845,-1.7554,73.54,7.96
Inuvik,75,CA,broken clouds,66,68.3499,-133.7218,72.46,6.91
Los Llanos De Aridane,40,ES,scattered clouds,89,28.6585,-17.9182,67.75,16.11
Sirjan,0,IR,clear sky,46,29.452,55.6814,74.23,2.55
Providencia,99,MX,overcast clouds,45,28.7167,-111.5833,90.61,12.21
Urumqi,0,CN,clear sky,26,43.801,87.6005,81.55,8.95
Atarra,0,IN,clear sky,83,25.2833,80.5667,82.33,10.89
Cornelius,1,US,clear sky,75,35.4868,-80.8601,82.2,4.61
Poum,42,NC,scattered clouds,75,-20.2333,164.0167,73.38,4.18
Faanui,23,PF,few clouds,66,-16.4833,-151.75,78.78,7.99
Ostrovnoy,100,RU,overcast clouds,87,68.0531,39.5131,45.28,22.15
Ariquemes,73,BR,broken clouds,47,-9.9133,-63.0408,80.29,0.96
Tshikapa,1,CD,clear sky,41,-6.4167,20.8,69.62,0.67
Nan,20,TH,few clouds,100,18.8333,100.6667,75.22,1.14
Dunedin,100,NZ,overcast clouds,29,-45.8742,170.5036,51.8,18.01
Torbay,20,CA,few clouds,92,47.6666,-52.7314,57.76,11.5
Suba,77,PH,broken clouds,81,10.8438,121.0102,84.0,22.24
Victoria,75,HK,broken clouds,86,22.2855,114.1577,88.25,1.99
Hambantota,75,LK,broken clouds,100,6.1241,81.1185,79.14,11.5
Oistins,20,BB,few clouds,89,13.0667,-59.5333,78.89,4.61
Prince Rupert,90,CA,overcast clouds,79,54.3161,-130.3201,64.09,4.61
Geraldton,90,AU,overcast clouds,88,-28.7667,114.6,55.81,9.22
Duldurga,17,RU,few clouds,56,50.6761,113.5931,68.36,6.22
Beruwala,93,LK,overcast clouds,88,6.4788,79.9828,77.86,5.37
Riviere-Au-Renard,0,CA,clear sky,87,48.9957,-64.3971,64.69,9.66
Miles City,1,US,clear sky,8,46.4083,-105.8406,94.17,8.05
Yeppoon,0,AU,clear sky,37,-23.1333,150.7333,69.58,9.82
Clyde River,90,CA,light rain,93,70.4692,-68.5914,34.03,24.16
Esperance,100,AU,overcast clouds,70,-33.8667,121.9,51.64,17.49
Huanuco,1,PE,clear sky,88,-9.9329,-76.2415,58.98,2.19
Bilibino,66,RU,broken clouds,50,68.0546,166.4372,57.88,0.29
Kaka,0,TM,clear sky,15,37.3482,59.6143,86.94,9.51
Xai-Xai,2,MZ,clear sky,69,-25.0519,33.6442,60.53,7.7
Lima,90,PE,overcast clouds,77,-12.0432,-77.0282,61.05,10.36
Hobyo,100,SO,overcast clouds,79,5.3505,48.5268,76.35,24.05
Luanda,0,AO,clear sky,91,-8.8368,13.2343,68.38,4.27
Bandipur,92,NP,overcast clouds,92,27.9333,84.4167,71.76,1.23
Elat,0,IL,clear sky,37,29.5581,34.9482,84.04,11.5
Padang,87,ID,overcast clouds,71,-0.9492,100.3543,73.45,2.37
Saint-Joseph,21,RE,few clouds,73,-21.3667,55.6167,62.98,8.86
Balmullo,0,GB,clear sky,93,56.3769,-2.9294,56.12,2.3
Chuy,100,UY,light rain,83,-33.6971,-53.4616,56.3,6.76
Kirakira,18,SB,few clouds,72,-10.4544,161.9205,85.1,8.93
San Patricio,2,US,clear sky,66,28.017,-97.5169,92.53,13.82
South River,100,US,overcast clouds,72,40.4465,-74.386,78.69,1.99
Batemans Bay,10,AU,clear sky,39,-35.7167,150.1833,55.9,13.87
Bonavista,100,CA,light rain,95,48.6499,-53.1147,59.0,5.88
Marovoay,2,MG,clear sky,65,-16.1,46.6333,62.74,3.04
Souillac,40,MU,scattered clouds,78,-20.5167,57.5167,70.18,11.5
Asfi,4,MA,clear sky,81,32.2994,-9.2372,68.11,17.27
Katsuura,2,JP,clear sky,69,35.1333,140.3,86.14,10.69
Marawi,17,PH,few clouds,63,7.9986,124.2928,82.65,7.25
Puerto Baquerizo Moreno,10,EC,clear sky,79,-0.9,-89.6,71.91,13.82
Nizhniy Ufaley,99,RU,overcast clouds,97,55.9153,59.9842,53.62,5.61
Gallup,1,US,clear sky,55,35.5281,-108.7426,72.36,3.0
Pedernales,100,DO,overcast clouds,77,18.0384,-71.744,81.82,2.21
Kavieng,9,PG,clear sky,69,-2.5744,150.7967,84.67,8.21
Komsomolskiy,0,UZ,clear sky,38,40.4272,71.7189,77.72,6.91
Leningradskiy,100,RU,overcast clouds,96,69.3833,178.4167,36.7,6.64
Ridgecrest,20,US,few clouds,11,35.6225,-117.6709,105.66,7.0
Moerai,32,PF,scattered clouds,62,-22.4333,-151.3333,71.15,2.91
Ulladulla,1,AU,clear sky,50,-35.35,150.4667,55.87,18.92
Matara,53,LK,broken clouds,89,5.9485,80.5353,77.34,7.81
Kaniama,0,CD,clear sky,40,-7.5667,24.1833,68.99,8.25
Namie,1,JP,clear sky,70,37.4833,141.0,85.71,1.01
Correntina,4,BR,clear sky,61,-13.3433,-44.6367,65.3,4.63
Pangnirtung,100,CA,moderate rain,86,66.1451,-65.7125,47.62,11.27
Mount Gambier,40,AU,scattered clouds,87,-37.8333,140.7667,48.11,8.05
Bull Savanna,23,JM,few clouds,81,17.8868,-77.5902,77.5,2.28
Turbat,8,PK,clear sky,78,26.0023,63.044,82.56,5.08
Deep River,100,CA,overcast clouds,99,46.1001,-77.4995,64.44,10.56
Nanortalik,96,GL,overcast clouds,96,60.1432,-45.2371,42.71,9.84
Ponta Do Sol,0,PT,clear sky,79,32.6667,-17.1,74.01,4.03
Bambous Virieux,40,MU,light rain,78,-20.3428,57.7575,70.05,11.5
Baglan,0,AF,clear sky,18,36.1307,68.7083,84.94,3.24
Havelock,65,US,broken clouds,67,34.8791,-76.9013,78.94,5.7
Rocha,100,UY,overcast clouds,78,-34.4833,-54.3333,57.15,10.33
Balykshi,0,KZ,clear sky,48,47.0667,51.8667,66.2,4.47
Chara,100,RU,overcast clouds,87,56.9064,118.2631,58.57,4.14
Husavik,80,IS,broken clouds,92,66.0449,-17.3389,57.11,2.89
Progreso,99,MX,overcast clouds,84,21.2833,-89.6667,81.0,10.42
Puerto Escondido,1,MX,clear sky,70,15.85,-97.0667,86.83,9.22
Grand Gaube,11,MU,few clouds,78,-20.0064,57.6608,70.2,4.0
Mount Isa,11,AU,few clouds,26,-20.7333,139.5,65.97,16.11
Purpe,99,RU,overcast clouds,92,64.4803,76.6897,55.81,8.25
Yar-Sale,5,RU,clear sky,81,66.8333,70.8333,55.45,10.54
Tangjiazhuang,94,CN,overcast clouds,71,39.7333,118.45,83.05,5.12
Na Wa,100,TH,overcast clouds,93,17.4897,104.1006,77.04,11.5
Fortuna,75,US,broken clouds,80,40.5982,-124.1573,67.86,14.97
Bumba,19,CD,few clouds,83,2.1833,22.4667,71.78,2.3
Maiduguri,100,NG,overcast clouds,67,11.8464,13.1603,80.17,11.1
Gat,2,IL,clear sky,83,31.61,34.7642,79.48,1.3
Beringovskiy,100,RU,overcast clouds,74,63.05,179.3167,56.28,7.56
Honningsvag,99,NO,overcast clouds,81,70.9821,25.9704,45.61,22.57
Gobardanga,30,IN,scattered clouds,88,22.8747,88.7586,84.11,1.25
Meulaboh,100,ID,overcast clouds,80,4.1363,96.1285,77.88,3.44
Teruel,22,ES,few clouds,43,40.6667,-0.6667,66.16,2.53
Lorengau,44,PG,scattered clouds,67,-2.0226,147.2712,84.34,4.72
Morrope,14,PE,few clouds,81,-6.5417,-80.0111,65.82,13.11
Gorontalo,97,ID,overcast clouds,70,0.5412,123.0595,82.11,4.18
Petropavlovsk-Kamchatskiy,20,RU,few clouds,68,53.0452,158.6483,70.39,6.71
Bilma,100,NE,overcast clouds,41,18.6853,12.9164,89.11,7.76
Tuatapere,100,NZ,overcast clouds,67,-46.1333,167.6833,49.82,6.33
Marquette,0,US,clear sky,66,46.5333,-87.6335,80.04,5.01
Revda,92,RU,overcast clouds,96,56.801,59.9303,58.01,7.61
Narsaq,100,GL,overcast clouds,93,60.9167,-46.05,46.62,3.33
Ponta Delgada,75,PT,broken clouds,88,37.7333,-25.6667,72.32,3.44
Najran,9,SA,clear sky,45,17.4924,44.1277,81.25,2.26
Varzea Alegre,5,BR,clear sky,57,-5.35,-40.3833,73.26,4.54
Pouembout,0,NC,clear sky,38,-21.1333,164.9,83.41,6.87
Yerbogachen,47,RU,scattered clouds,47,61.2767,108.0108,74.32,4.65
Xingyi,100,CN,overcast clouds,97,24.1877,102.817,61.81,1.43
Maniitsoq,100,GL,overcast clouds,78,65.4167,-52.9,40.35,2.19
San Juan,0,AR,clear sky,40,-31.5375,-68.5364,52.48,10.87
Faya,62,SA,broken clouds,78,18.3851,42.4509,64.51,3.42
Kambove,66,CD,broken clouds,75,-10.8764,26.5969,53.13,8.66
Sao Miguel Do Araguaia,0,BR,clear sky,39,-13.275,-50.1628,72.25,4.61
Tessalit,21,ML,few clouds,50,20.1986,1.0114,86.9,11.72
Bengkulu,1,ID,clear sky,73,-3.8004,102.2655,78.8,2.84
Kariba,74,ZW,broken clouds,70,-16.5167,28.8,57.81,6.02
Kachug,33,RU,scattered clouds,55,53.9606,105.8817,68.61,4.03
Ulagan,90,RU,overcast clouds,90,50.6321,87.9563,58.17,0.27
Liberal,1,US,clear sky,30,37.0431,-100.921,97.83,8.05
Yaan,31,NG,scattered clouds,95,7.3833,8.5667,70.34,3.78
Lompoc,20,US,few clouds,71,34.6391,-120.4579,84.69,5.01
Champerico,53,GT,broken clouds,75,14.3,-91.9167,86.34,3.36
Rakke,12,EE,few clouds,71,58.9817,26.2544,51.17,2.71
Santa Cruz,0,BO,clear sky,61,-17.8,-63.1667,76.46,9.22
Muros,100,ES,overcast clouds,92,42.7762,-9.0603,63.23,4.07
Blagoyevo,100,RU,overcast clouds,95,63.3667,47.9167,44.78,5.12
Dingle,47,PH,scattered clouds,75,10.9995,122.6711,84.15,17.74
Bocas Del Toro,100,PA,overcast clouds,84,9.3333,-82.25,82.08,10.36
Mayor Pablo Lagerenza,0,PY,clear sky,32,-19.9309,-60.7718,81.21,8.77
Nelson Bay,6,AU,clear sky,51,-32.7167,152.15,59.0,5.01
Aktanysh,14,RU,few clouds,69,55.7216,54.0829,51.84,7.16
Alferrarede,79,PT,broken clouds,76,39.4833,-8.1667,64.42,5.26
Marki,0,PL,clear sky,67,52.3206,21.1047,73.36,6.91
Coquimbo,0,CL,clear sky,87,-29.9533,-71.3436,53.33,6.91
Olinda,75,BR,broken clouds,88,-8.0089,-34.8553,69.53,9.22
Buala,100,SB,light rain,89,-8.145,159.5921,78.13,5.77
